Index	Section	Name	Brewery	Character	Strength	Complexity	Style	Description				
1	1	BOBA BEER	Dad & Dave's Brewing	character	6%	STEPPING UP	Sour - Berliner Weisse	A delightfully tart Grapefruit Beliner Weisse infused with Jasmine Green Tea. Bit notes of citrus and floral jasmine. Serve with Tapioca Pearls for full experience!				
2	1	HOMESTEAD BLACKBERRY & APPLE PASTRY SOUR	The Coastal Brewing Company	character	6%	EASY DRINKING	Specialty Beer	Perfect for an autumn or winter evening bringing crumble to a glass!				
3	1	SUIT UP	7th Day Brewery	character	6.5%	STEPPING UP	IPA - Black	A dark malt base gives off a roasted flavours. Chocolate and raisins mingle with piney resin and citric floral hops. Suit up and enjoy the ride!y.				
4	1	WHISKEY IN THE JAR	Six String Brewing Co.	character	12%	ADVENTUROUS	Wood Aged Beer	"A barrel aged, American-Style Imperial Stout. Conditioned on a single batch whiskey distilled from a stout inspired wash. This beer is a ""Boilermaker"" in a glass"				
5	1	MARSDEN NEOPOLITAN PORTER	The Marsden Brewhouse	character	5.5%	STEPPING UP	Stout - Tropical	"Marsden Neopolitan Porter - Just like the ice cream, Berry - Vanilla - Chocolate! It's a different take on our usual Chocolate Porter with the three distinct ingredients combining to create a triumvirate of flavour! Try it with a piece of Chocolate Mudcake or maybe just a piece of chocolate!"				
6	1	GO! GO! ICHIGO!	The Mill Brewery	character	5.5%	STEPPING UP	Sour - Gose	Umami! Salty! Strawberry! Sour!				
7	1	MARKET 2023	Hop Nation Brewing Co	character	6%	STEPPING UP	IPA - New England	"Kaffir lime leaf, mango, coriander, Vietnamese mint and chilli have been integrated into this juicy IPA. A fun and exciting voyage that will take IPA fans through to the flavours of fusion."				
8	1	BARREL AGED RUM DOUBLE CHOC BROWN ALE	Bad Shepherd Brewing Co	character	7.5%	ADVENTUROUS	Specialty Beer	"A smooth, toasty and malty brown ale brewed with real hazelnuts, vanilla, cocoa, Jimmy Rum and a splash of Frangelico, this tempting brew was squirreled away by our brewers into Rum barrels. The result is a rich and decadent Double Choc Hazelnut Brown Ale with plenty of character."				
9	1	I AM WEISS	Yenda Brewing Co	character	5%	EASY DRINKING	Weizen/Weissbier/Hefeweizen	An Australian style wheat beer with the fruitiness of raspberries to pack a zingy punch for this sessional and very quaffable beer.				
10	1	"TIM, TAM & TOM"	B.O.B	character	5.9%	EASY DRINKING	Brown Ale - UK	"Classical British Ale with Tim Tams. Front palate will have loads of biscutiness, followed by a mid palette showing some hoppy character followed by a sweet lasting finish."				
11	1	MOLECULAR BUBBLE TEA IPA	The Zythologist	character	6.2%	STEPPING UP	IPA - Milkshake	"A decadent Milkshake IPA brewed with purple taro,milk sugar, brown sugar, tapioca, wheat and oats. Complimentary use of floral & fruity hops with a subtle bitter bite reminds you this is still very much a beer, but one that's impostering the Chemistry of a refreshing taro bubble tea."				
12	1	LAVENDER CHEESECAKE	Sauce Brewing Co	character	8%	ADVENTUROUS	Sour - Pastry	The name says it all! This rich desert sour has delicate lavender aromas with a cheesy (in a good way) twist. Contains lactose.				
13	1	SAB LITE	St Andrews Beach Brewery	character	4.5%	EASY DRINKING	Lager - Pale	"A crushable American Light Lager brewed with a classic malt profile of pilsner malt, rice and corn."				
14	1	DON’T GO BAKING MY HEART (NITRO CINNAMON PASTRY STOUT)	Local Brewing Co	character	8%	ADVENTUROUS	Stout - Pastry	"Crafted with passion and heart using leftover scrolls from a local bakery, the warm and 'dough-lightful' aroma of cinnamon will immediately transport you to a cozy place, inviting you to take a sip of the rich and creamy body. The pronounced sweetness of the pastry perfectly balances with the boldness of the 8% ABV, creating an intense flavour combination."				
15	1	CHERRY MAGUIRE	Feral Brewing Co	character	6.5%	STEPPING UP	Sour - Pastry	"Sweet cherries create an acidic fruit burst, balancing out the tartness of this sour, with interwoven notes of fluffy pastry and vanilla crisscrossing like a classic cherry pie."				
16	1	THE TAVERNER ALL BRUT LOW GLUT	Urban Alley Brewery	character	7%	ADVENTUROUS	IPA - White	"Talus & Citra craft layered waves of tropical fruit melded with spicy Belgian yeast, all tied up in a lean and dry frame with low carbs, low gluten and loads of flavour."				
17	1	THE LOVER	Co-Conspirators Brewing	character	8%	ADVENTUROUS	Stout - Pastry	"Not only for the sweet tooth inclined drinker, this dessert stout is melding the flavours of caramel, chocolate and soy sauce to create a balanced and complex delight. The Lover will tantalise your tastebuds with the rich flavours of chocolate and caramel and balance that sweetness with the umami and salinity of soy sauce."				
18	1	ESCAPE WITH THE SCHWARTZ	Escape Brewing	character	5%	EASY DRINKING	Lager - Dark	A clean German style dark lager (Schwarzbier) to delight dark beer lovers and newcomers alike through its smooth malt and dry finish with hints of mint.				
19	1	ONLY FLANS	Big Shed Brewing Concern	character	6.9%	STEPPING UP	Sour - Pastry	"Subscribe to our OnlyFlans, a vanilla custard, fruited sour. No monthly fees just explicit deliciousness. Coming in at a suggestive 6.9% with all the classic vanilla custardy goodness, paired with fruits and thick mouthfeel, it puts the phrase ‘limited release’ into a whole new context….."				
20	1	UNICORN NEIPA	Seeker Brewing	character	7.2%	ADVENTUROUS	IPA - New England	"For this year's GABS special, all of our mystical energy was channeled into a beer that can only be described as a Unicorn. It boasts a familiar, tropical, juicy flavour and a sprinkle of magic that may have you questioning whether it ever existed at all. The rest of the tasting notes - we leave to you."				
21	2	CALYPSO	Resin Brewing	character	6%	EASY DRINKING	IPA - Hazy	"With pineapple notes up-front, Calypso is the juicy, easy-drinking brew you’ve been waiting for."				
22	2	LONG ISLAND ICED TEA SOUR	Catchment Brewing Co	character	7.5%	ADVENTUROUS	Sour - Kettle Sour	"Ahh the Long Island Iced Tea. A cocktail that many know, but don't understand. Big, bold cola flavour, with citrus notes from lemon and orange giving the sour touch. Balanced out with the sweetness of the expected booze aitting at 7.5%. It's special, it's delightful, it's GABS baby!"				
23	2	UPPER MANAGEMENT	Psycho Suzie’s Brewing	character	8.5%	ADVENTUROUS	IPA - Red	"Malt biscuity backbone, with a west coast style bitterness and piney-ness. Followed with aromas of stone fruit and resin."				
24	2	DESERT LIME GIMLET IPA	Noodledoof	character	6.8%	STEPPING UP	Specialty Beer	"The flavor is citrus forward with a helping hand from Australian Native Desert Limes that bring a vibrant mandarin flavor. We utilise the heads of our own Koroit Gin, packed full of citrus oils that are a bit too intense for our gin but are a perfect fit for this IPA."				
25	2	VIOLET BEAUREGARDE’S BLUEBERRY MARSHMALLOW LACTOSE SOUR ALE	Wayward Brewing Co	character	4%	EASY DRINKING	Sour - Pastry	"Transport yourself to Willy Wonka's factory. Tart, juicy blueberries come together with the subtle sweetness of marshmallow and a smooth, creamy mouthfeel."				
26	2	AUGUSTUS GLOOP’S CHOC FUDGE PEANUT BRITTLE STOUT	Batch Brewing Co	character	6%	STEPPING UP	Stout - Pastry	Roasty notes of chocolate and caramel are met by the nuttiness of peanut brittle and the creamy sweetness of vanilla.				
27	2	"RED FROG, RASPBERRY DARK LAGER"	Blackman’s Brewery	character	5%	EASY DRINKING	Lager - Dark	A dark lager made with copious amounts of red frogs and Raspberries. A crisp easy drinking beer with fruity Choc berry explosion of red frog delight!				
28	2	CHERRY FRUITED BRAGGOT	Coldstream Brewery	character	6.5%	None	Braggot	"A blend of a heavily cherry-fruited Saison, and a Braggot Brewed with local honey. Luscious and sweet with a dry finish, aromatic cherry and honey flavours and an unmistakable Saison spice."				
29	2	BANANARAMA PINA COLADA	Good Land Brewing Co	character	5.8%	EASY DRINKING	Sour - Fruit	"Banana Pina Colada is our super smoothie base with Banana, Marshmellow, Coconut & Pineapple. Contains Lactose."				
30	2	THROWING HAZE	Precinct Brewing	character	6.8%	STEPPING UP	IPA - Hazy	"This stack of hop character is built upon a solid malt base containing multiple types of malted and rolled oats, with a dash of high-quality Yuzu juice. The acidity cuts through on the back end of the palette, snapping in its unique flavour and keeping the mouth wanting more!"				
31	2	STICKE COFFEE KOLSCH	King River Brewing	character	7%	ADVENTUROUS	Kölsch	"Cold brewed coffee on a double strength ""Sticke"" Kolsch. Deep golden, bready malt base with 100 litres of coffee from our local Coffee roaster. This won't just wake you up in the morning, it'll make sure you feel great about the day too. At least for the first part of the day"				
32	2	SQUISHEE	Black Hops Brewery	character	6.5%	STEPPING UP	Sour - Kettle Sour	High sweetness and thick mouthfeel with a large fruit addition of Strawberry and Lime as the beer will be offered as a slushee at our stall as well as on tap.				
33	2	PEANUT BUTTER BROWNIE IMPERIAL STOUT	Deeds Brewing	character	10%	ADVENTUROUS	Stout - Imperial	"A delicious and indulgent treat that combines rich chocolate, creamy peanut butter, and roasty stout flavours. The taste is smooth, rich and chocolatey, with a creamy peanut butter flavour that complements the fudgy, brownie-like sweetness, and the mouthfeel is full and velvety."				
34	2	BARELY LEGAL	Blackflag Brewing	character	18.1%	ADVENTUROUS	IPA - Imperial	"Its big, bold and barely legal. Nice rounded Quad IPA packing a punch. It's bitter, boozy and something to tell your friends about."				
35	2	MUNICH DUNKEL	"Five' 3"" Brewing"	character	5%	EASY DRINKING	Munich Dunkel	Subtle sweet notes of toffee with light floral and herbal aroma with some spice added in.				
36	2	THROAT POUR	Bonehead Brewing	character	5.1%	EASY DRINKING	Lager - Classic German Pilsner	"When you need something to remind you why you first fell in love with craft beer. Throat Pour is a Classic German Pilsner, featuring Tettnanger and Perle hops, making it a refreshing crispy-boi with a subtle spice and pine finish and gentle floral aroma."				
37	2	BLACK FORREST CAKE SOUR	Revel Brewing Co.	character	6%	STEPPING UP	Sour - Pastry	"Luscious & divine, who can resist a slice of Black Forrest Cake? Dark Chocolate, Coffee, and Black Cherry with a creamy smooth body topped off by a bitey acidity to finish."				
38	2	PEAK HYPE 	Pixel Brewing	character	6.5%	STEPPING UP	IPA - American	"Featuring Nectaron, the latest and greatest hop released by NZ Hops teamed up with one of our other local favourites in Vic Secret for a tropical fruit punch to the face. A clean and light malt base showcasing the hops."				
39	2	DRINKIN’ DONUTS IMPERIAL JAM DONUT GOLDEN ALE	Bright Brewery	character	8%	ADVENTUROUS	Experimental Beer	"Is there anything more iconic than the Hot Jam Donut? Sugar, spice, and all things nice - not to mention oozing with sweet raspberry jam. Bright Brewery's Drinkin' Donuts Imperial Jam Donut Golden Ale will transport you directly to beer drinkin' heaven!"				
40	2	THE SNOWBALL EFFECT	Wolf of the Willows	character	10.5%	ADVENTUROUS	Stout - Pastry	"Imperial Stout aged in whisky barrels for 9 months, finished on cocoa nibs, vanilla and coconut. Contains lactose."				
41	3	RYE RYE RYE DELIAH	Braeside Brewing Co	character	6.5%	STEPPING UP	IPA - Red	"Rye not give it a go, a bright red ipa packed with rye malt, chuck in Darjeeling tea leaf and you find yourself in a cross continent heaven. Crazy aromatic with a spicy toffee malt build."				
42	3	"""GRANDMERE'S CRUMBLE"" RHUBARB & CUSTARD (APPLE) SAISON"	Badlands Brewery	character	6%	STEPPING UP	Saison/Farmhouse Ale	"Tassie Rhubarb, QLD Custard Apples & a French farmhouse beer style. Piquant, smooth and gentle. Comfort Food in a glass"	 mango	 Banana	 Vanilla	" Granola & Spirulina the almighty hexagon health boost. Contains Lactose (Disclaimer : This may not make you healthy) But it may.."""
43	3	CAN'T BEET A ROOT	Moffat Beach Brewing Co	character	4.8%	STEPPING UP	Lager - Classic Pilsner	"Beetroot. Whether it’s leaking the red stuff all over your burger with the lot, or ‘garnishing’ your Mum’s iceberg lettuce ‘salad’, is there any veg more quintessentially Australian? Well, we’ve taken it one step further, and whacked it in a beer. That’s right. Beetroot. In. Your. Beer. Can’t beet it."				
44	3	COTTON CANDY SOUR	Shifty Lizard Brewing Co.	character	4.8%	EASY DRINKING	Sour - Kettle Sour	"Like flying swiftly over the rainbow, this kettle sour is as much sweet as it is sour and tart. A balance that will take you back to the side show alley while still puckering lips and clicking your tongue on the roof of your mouth!"				
45	3	THE CRAFT AND CO. WIPA	Craft and Co.	character	6.5%	STEPPING UP	IPA - Imperial	"A wheat-based IPA brewed exclusively with Australian ingredients. Bursting with bright citrus, stone fruit, and tropical flavors. Fermented with a clean ale to allow big hop flavor to be showcased, with a smooth, creamy, refreshing, wheat back bone."				
46	3	WAGGLE BUZZ	Tallboy and Moose	character	6.6%	STEPPING UP	Braggot	"Ah, the braggot! A perfect blend of mead and beer, a liquid love story in your glass. Honey undertones mingle with caramel and biscuit flavours care of Cara Amber and Munich malts. Get your waggle on!"				
47	3	BOGAN FUEL	Reckless Brewing Co	character	6.9%	STEPPING UP	Specialty Beer	"Rev your engines for a lip-smacking supercharged sip of sheer westie goodness with Bogan Fuel, especially for GABs. Take your classic rum and cola and redline the flavour with a sour twist, and there you have it – all the power and grunt of a V8 in a can, with a punch like a polar bear and a winning finish like Craig Lowndes at his cracking best. Get your mouth"				
48	3	CHROME FURY	Modus Brewing	character	6%	STEPPING UP	Sour - Pastry	"A mango and coconut dessert in liquid form. Delicious fruity flavours with a hit of vanilla, delivering the ultimate blend of sweet with a slap of sour at the end."				
49	3	BISCOFF ICE CREAM PORTER	Aether Brewing	character	8%	ADVENTUROUS	Experimental Beer	"A delicious, smooth, rich and decadent porter base that is dripping with biscoff and vanilla! Aromas of the namesake biscuit along with subtle roasted malts combine to offer a mildly sweet treat that will leave you drooling for more!"				
50	3	GINGER NUT SPARKLING IPA	Eumundi Brewery	character	6%	STEPPING UP	IPA - Brut	"We hail form the best ginger growing region in the country, and we love our beer and biscuits. This is our Brut IPA with classic overtones of ginger, cinnamon, and brown sugar all in one glass."				
51	3	IMPERIAL LEMON MERINGUE TART SOUR	Stoic Brewing	character	8.3%	ADVENTUROUS	Sour - Pastry	"We've used a new novel yeast foraged locally by Mogwai Yeast Labs that ferments and sours as well! It gives zesty citrus character that we've bumped up to 11 with real lemon puree. We've used Biscuit malt from Voyager Craft Malt to give that tart crust flavour along with oats, vanilla and lactose to produce a full on flavour bomb that's silky, smooth, tart and rounded. An ode to all our favourite grandmas classic dessert."	 featuring Peanut Butter	 Blueberry Jam	" & Maple Bacon Sandwich."""	
52	3	HOP QUAD BUNS	Mismatch Brewing Co	character	10.5%	STEPPING UP	Belgian Quad	"If a Belgian baker started brewing and only made beers that tasted like they came from a bakery, you would have Hop Quad Buns. Everybody's Easter favourite, Hot Cross Buns combined with a big Belgian Quad. Expect dark fruit and sweetness, with the spice of a Hot Cross Bun."				
53	3	MULBERRY BUSH IMPERIAL IPA	Merino Brewery	character	7.5%	STEPPING UP	IPA - Black	"Fruited beer that’s not sour! A bucket load of Mulberries and then some more added to this beer giving a good balance of sweet and tart flavours with a hint of woody cedar to bridge the piney bitterness an of an American classic. This imperial edition certainly slaps the right notes, in all areas."				
54	3	TAKE 5 - CHOC CARAMEL PEANUT BUTTER CUP DOUBLE MILK STOUT	Working Title Brew Co	character	8%	ADVENTUROUS	Stout - Pastry	"Everyone needs a break. Hell, you know you've earned it. So take five and lose yourself in a big, chewy choc caramel peanut butter cup beersplosion that's guaranteed to make you regret not taking the whole day off. First up, decadent caramel and rich peanut butter whack you right in the schnozarooni. Layers of chocolate and caramel malt complexity blend intricately with the peanuts and a decadent, muscovado body. A saline body lifts the overall flavours for one hell of a savoury peanut butter cup experience that will leave you gagging for more."				
55	3	SALVAGED SOUR - APPLE & RHUBARB CRUMBLE PASTRY IMPERIAL SOUR	Capital Brewing Co	character	10%	ADVENTUROUS	Sour - Pastry	Brewed using ingredients that would've been thrown out. 'Ugly' apples and rhubarb were sourced from a local farmer and given a second life. This sweet biscuity base beer is loaded with a heap of specialty malts to give you a brown sugar and honey crumble flavour and is the perfect balance of sweet & sour. *Contains lactose.				
56	3	BLOODY MISTIC	Common Ground Brewing	character	6%	STEPPING UP	American Wheat	"Our Blood Orange and Sage Wheat pours a golden straw colour with plenty of haze topped with a fluffy white head of foam. The aroma is juicy and somewhat spicy, earthy, floral character with an undercurrent of wheat. On the palate, look for a nice breadiness at the centre of this beer with a big juicy and herbal hit from the blood orange and sage followed with some mild bitterness."				
57	3	MAPLE BACON PANCAKE STOUT	Slipstream Brewing Co	character	7%	STEPPING UP	Stout - Sweet Stout	"Picture a tall stack of fluffy pancakes, topped with maple bacon and vanilla ice cream, and an extra drizzle of maple syrup for good health. Now picture it in stout form - what a delicious start to the day! This decadent milk stout features a fluffy mouthfeel, and is stacked with flavours of sweet maple, vanilla, smoky bacon, toast and roast."				
58	3	PEAK HYPE 	Green Beacon	character	6.1%	LUSH GUAVA BEER - GREEN BEACON X VODKA CRUISER COLLABORATION	Sour - Mixed Fermentation	"We've teamed up with everyones favourite RTD company to create Green Beacons version of Lush Guava Cruiser. This electric pink, double fruited, mixed fermentation sour ale is packed with naturally sweet aromas and flavours of Lush Guava, a hypersonic ABV (6.174) and a tart, refreshing finish."				
59	3	ELEKTRO SOUR WORMHOLE	Bridge Road Brewers	character	4.3%	EASY DRINKING 	Sour - Berliner Weisser	This existential duology explores the extremities of sour and sweetness in a mind bending beer that looks like Aurora Australis and tastes like elektro-soaked sour worms.				
60	3	THA THICCNESS VERSION 2	Squinters Brewing co	character	6.7%	STEPPING UP	IPA - Hazy	"Tha Thiccness, Oat cream IPA so overwhelmingly wide, one must be referred to as 'Tha Thiccness' by all who experience. Dosed with lactose, oats and new world hops"				
61	4	CARNIVAL SOUR	Easy Times Brewing	character	6%	STEPPING UP	Sour - Pastry	"In a world of beer gone mad it's sometimes difficult to tell where a drink stops being beer and starts being....uhh....a fermented malt beverage. If you can't beat them, join them! Easy Times Carnival Sour is our shot at jumping on the meme beer bandwagon! Laden with edible glitter, lactose and sour as hell to boot, this pink lemonade sour shimmers as you sip at it. Served with fairy floss and wonka nerds when poured at the brewery stand!"				
